"","","Index value","Global rank","population age 60+ ('000000) in 2015","share of people 60+, 2015","share of people 60+, 2030","share of people 60+, 2050","I. INCOME SECURITY INDEX Value","I. INCOME SECURITY INDEX Rank","Pension income coverage","Poverty rate (relative definition) in old age","Relative welfare of the elderly","GNI per capita","II. HEALTH STATUS INDEX Value","II. HEALTH STATUS INDEX Rank","LE60","HALE60","Mental well-being (relative)","III. CAPABILITY Index Value","III. CAPABILITY Index Rank","Education","Employment","IV. ENABLING ENVIRONMENT Index Value","IV. ENABLING ENVRIONMENT Index Rank","Social Connectedness","Safe Walking Alone","Freedom in Your Life","Public transport","National policy on ageing","Region","Regional average Income security","Regional average Health status","Regional average Capability","Regional average Enabling environment"
"46","Kyrgyzstan","48.783779001376296","51",0.419867,7.06851323291294,11.2624502511328,16.0929986687456,"64.848534315477337","51","100","9.1","87.261432800000009",2766.08823916414,"28.908425481407964","83",17,13.291,"88.421052631578945","42.273057820448372","32","76.142913752913742",45.7,"69.595175208424408","36","82","61","67","70","no information","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"47","Lao People's Dem. Republic","29.431665924275844","83",0.407397,5.98935052116113,8.07457696197119,14.6547102958399,"19.690561407778592","87","5.6000000000000005","4.5","104.51349379999999",4096.37496669897,"29.717159686932686","82",17,13.031,"96.969696969696969","18.979348482707476","85","6.5246648044692757",69.9,"75.458409398342496","20","66","84","86","68","yes ","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"48","Latvia","55.244241630173462","35",0.505577,25.6572560407165,28.9880522994936,33.1122843768572,"74.539379206373695","34","100","8","79",19656.0369573328,"44.080485482772971","66",20,15.184,"78.048780487804876","57.004347080837064","15","89.498134615384615",54.8,"60.110693297914032","68","73","48","54","69","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"49","Lithuania","43.204789301708914","63",0.719208,24.9863379197854,28.6744660961347,29.919125778758,"63.755844846032495","53","100","23.559719037361312","69.431521766657383",21489.6664673719,"44.202816149180897","65",21,15.775,"70.588235294117652","50.017622735586663","21","72.987609618104671",53.4,"52.634733126972797","90","82","39","48","50","yes ","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"50","Luxembourg","69.532077380295462","19",0.108384,19.1116361905098,24.7259385801472,28.973669013173,"89.74417059450532","1","90","2.7","115.99999999999999",59241.891609025,"76.607767230222819","10",25,17.451,NA,"30.956328758076033","53","59.450106382978731",40.5,"76.095215652728982","19","90","56.999999999999993","86","76","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"51","Malawi","4.1261230668086792","95",0.849399,4.93399682327836,4.58126705151536,7.59169930570797,"5.5941805777367604","96","4.1000000000000005","17.5","80.3012224",716.897121643761,"18.847931224453607","95",16,11.483,"100","19.008251048281231","84","4.461449487554904",96.4,"48.393570433373121","94","48","36","69","46","pending","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"52","Malta","49.78973544385736","47",0.106985,25.5535385864762,30.3750239471434,36.2074753804834,"63.532969391933428","54","61.6","7","82",26756.6362058743,"72.111025509279798","20",24,17.32,NA,"18.892496441828747","86","35.171758241758241",36.3,"66.388000125454013","47","90","69","92","34","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"53","Mauritius","51.753433516248464","42",0.187529,14.7288118553705,23.2987303764274,30.6405407309668,"82.881325403963217","9","100","6.4","104.51768939999999",15796.8685104957,"45.034708836629555","63",20,14.841,NA,"24.616877360232511","75","25.980567375886526",45.9,"69.184534145746454","38","76","55.000000000000007","87","63","yes","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"54","Mexico","56.255528153656478","33",12.176817,9.58674470794607,14.9152962381484,24.6655056269503,"73.380396208959937","36","88","20.9","108.4406895",16046.2536747533,"64.54790740011677","35",22,17.282,"94.565217391304344","28.671571081637609","62","22.991394173602853",55,"66.669799779124233","46","80","56.000000000000007","70","63","no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"55","Republic of Moldova","35.059758660368956","77",0.674047,16.5658408163195,22.3601204587017,33.5989797598514,"53.446492410492297","63","72.8","16.900000000000002","72.826969500000004",4640.16615127377,"25.758801484509092","90",17,13.563,"74.117647058823536","32.013315141297788","50","75.965796847635715",38.6,"57.653619409224504","76","76","44","59","56.000000000000007","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"56","Mongolia","37.390115661287119","72",0.188743,6.37831879191682,11.9489241697151,21.0758117993463,"75.763622195909036","31","100","7.7","96.601317600000002",7462.97940935316,"20.504311552206456","93",16,12.065,"100","27.857956517985993","64","57.694753086419745",38.6,"62.943092624584111","62","92","47","66","55.000000000000007","pending","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"57","Montenegro","39.688518050375713","68",0.126806,20.2636385572589,25.2042443323918,30.5374419892003,"56.30136079980192","61","52.300000000000004","10.100000000000001","82.349680800000002",13947.0596662018,"49.101724450041573","56",20,14.857,"94.505494505494497","20.602930180072242","82","35.499029126213593",37.6,"58.903648025841576","70","66","76","48","50","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"58","Morocco","29.268877470972591","84",3.316516,9.64734183344454,15.1099229221519,23.4322696015789,"52.242829748232651","65","39.800000000000004","9.7938840690619173","105.46406839713471",6553.49087381331,"37.509956277254439","72",18,14.419,"89.130434782608688","14.607083870122029","88","10.101879058441559",45,"53.946486068376608","89","53","68","50","47","yes","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"59","Mozambique","4.4599098189376365","94",1.432173,5.11895065037669,5.15919415027955,6.21665374058017,"22.772029973225571","84","17.3","19.100000000000001","90.766724600000003",1018.55744976582,"18.904239972090416","94",16,11.648,"95.6989247311828","4.5030288937742071","94","1.0453160173160174",70.4,"45.138984413910094","96","72","31","60","31","yes ","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"60","Nepal","38.189890085621457","70",2.456174,8.61401361450811,10.7906726316196,17.9499004603333,"52.972911452703471","64","56.2","10.439191582526794","109.16951309227055",2135.39849453748,"31.155574653912261","79",17,14.327,"86.813186813186817","24.931836915367054","74","8.403221550302364",84.5,"63.159363223637229","59","74","56.000000000000007","64","60","yes ","Asia-Pacific Group",45.5774473381595,42.0009237863106,28.0566904216561,67.211757367127
"61","Netherlands","83.011240529138703","6",4.148324,24.5101412242261,31.9995682946503,33.2446045008828,"85.867838351368377","5","100","3","94",45959.2150112625,"74.791927908602858","13",24,17.806,"98.630136986301366","59.632002676114396","12","81.313169717138095",60.1,"79.56592319662758","5","91","76","95","61","yes ","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"62","New Zealand","76.021281364377501","12",0.921049,20.3388254809622,27.00190449018,29.423651156885,"78.38463107248765","23","98","9.1","86.233946840670399",30885.9141252007,"77.754001916308908","9",25,18.249,"94.444444444444443","57.764046432544745","14","52.51636713735558",74.4,"71.536856662937637","30","95","57.999999999999993","97","49","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
